"FileName","Population","TPs","Lambda","N","N_numeric","Total_Rows","Total_Violations","Total_True_Violations","True_Violation_Perc","Percentage_Violations","Total_Errors","ErrorRate","Total_LL_Failures","LL_Failure_Perc","GoodReplications","Reanalysis_Needed","Adjusted_Replications_Needed"
"rilta_lta_n_2000_tp_-1.385_th_1_lambda_1",".200",-1.385,1,"N = 2000","2000",500,202,202,40.4,40.4,0,0,0,0,298,"Yes",1084
"rilta_lta_n_2000_tp_0.41_th_1_lambda_1",".600",0.41,1,"N = 2000","2000",500,129,129,25.8,25.8,0,0,0,0,371,"Yes",847
"rilta_lta_n_2000_tp_0.85_th_1_lambda_1",".700",0.85,1,"N = 2000","2000",500,112,112,22.4,22.4,0,0,0,0,388,"Yes",806
"rilta_lta_n_2000_tp_1.385_th_1_lambda_1",".800",1.385,1,"N = 2000","2000",500,112,112,22.4,22.4,0,0,0,0,388,"Yes",806
"rilta_lta_n_4000_tp_-0.41_th_1_lambda_0",".400",-0.41,0,"N = 4000","4000",500,111,111,22.2,22.2,0,0,0,0,389,"Yes",804
"rilta_lta_n_4000_tp_-0.85_th_1_lambda_0",".300",-0.85,0,"N = 4000","4000",500,133,133,26.6,26.6,0,0,0,0,367,"Yes",857
"rilta_lta_n_4000_tp_-1.385_th_1_lambda_0",".200",-1.385,0,"N = 4000","4000",500,128,128,25.6,25.6,0,0,0,0,372,"Yes",844
"rilta_lta_n_4000_tp_0.41_th_1_lambda_0",".600",0.41,0,"N = 4000","4000",500,110,110,22,22,0,0,0,0,390,"Yes",802
"rilta_lta_n_4000_tp_0.85_th_1_lambda_0",".700",0.85,0,"N = 4000","4000",500,134,134,26.8,26.8,0,0,0,0,366,"Yes",859
"rilta_lta_n_4000_tp_1.385_th_1_lambda_0",".800",1.385,0,"N = 4000","4000",500,138,138,27.6,27.6,0,0,0,0,362,"Yes",870
"rilta_lta_n_4000_tp_-0.41_th_1_lambda_0.2",".400",-0.41,0.2,"N = 4000","4000",500,119,119,23.8,23.8,0,0,0,0,381,"Yes",822
"rilta_lta_n_4000_tp_-0.85_th_1_lambda_0.2",".300",-0.85,0.2,"N = 4000","4000",500,114,114,22.8,22.8,0,0,0,0,386,"Yes",811
"rilta_lta_n_4000_tp_-1.385_th_1_lambda_0.2",".200",-1.385,0.2,"N = 4000","4000",500,151,151,30.2,30.2,0,0,0,0,349,"Yes",906
"rilta_lta_n_4000_tp_0.41_th_1_lambda_0.2",".600",0.41,0.2,"N = 4000","4000",500,102,102,20.4,20.4,0,0,0,0,398,"Yes",784
"rilta_lta_n_4000_tp_0.85_th_1_lambda_0.2",".700",0.85,0.2,"N = 4000","4000",500,114,114,22.8,22.8,0,0,0,0,386,"Yes",811
"rilta_lta_n_4000_tp_1.385_th_1_lambda_0.2",".800",1.385,0.2,"N = 4000","4000",500,116,116,23.2,23.2,0,0,0,0,384,"Yes",815
"rilta_lta_n_4000_tp_-0.41_th_1_lambda_0.4",".400",-0.41,0.4,"N = 4000","4000",500,129,129,25.8,25.8,0,0,0,0,371,"Yes",847
"rilta_lta_n_4000_tp_-0.85_th_1_lambda_0.4",".300",-0.85,0.4,"N = 4000","4000",500,147,147,29.4,29.4,0,0,0,0,353,"Yes",894
"rilta_lta_n_4000_tp_-1.385_th_1_lambda_0.4",".200",-1.385,0.4,"N = 4000","4000",500,168,168,33.6,33.6,0,0,0,0,332,"Yes",958
