"N_numeric","N","Population","Model","TPs","Mix","Mixing_proportion","Lambda","Total_Rows","Violation_Rate","LL_Failure_Rate","Error_Rate","True_Violation_Rate","Final_Violation_Rate","Final_LL_Failure_Rate","Final_Error_Rate","Final_True_Violation_Rate","Reps_Needed_for_Success","Successful_Replications","Status"
"500","N = 500",".800","Model 2",3.179,2,".33, .33, .33","0.9",499,28.3,0,0.8,29.1,29.1,0.1,0.8,29.9,886,621,"✅ Fixed"
"500","N = 500",".800","Model 3",3.179,2,".33, .33, .33","0.9",500,34.8,0,3,36.6,36.3,0,2.9,37.9,1010,627,"✅ Fixed"
"500","N = 500",".800","Model 1",3.179,2,".33, .33, .33","A",500,53.2,0.8,38.4,71,54,0.9,38.8,70.7,3405,996,"✅ Fixed"
"500","N = 500",".800","Model 2",3.179,2,".33, .33, .33","A",499,21,0.2,2.4,23.4,19.6,0.3,2.1,21.8,887,694,"✅ Fixed"
"500","N = 500",".800","Model 3",3.179,2,".33, .33, .33","A",500,32.2,0,2.8,33.4,30.2,0.1,2.6,31.6,1009,690,"✅ Fixed"
"500","N = 500",".800","Model 1",3.179,2,".33, .33, .33","B",500,53.2,1,30.2,67.6,53.7,0.7,27.3,66.7,3407,1133,"✅ Fixed"
"500","N = 500",".800","Model 2",3.179,2,".33, .33, .33","B",497,22.3,0.4,1,23.3,22.3,0.7,1.6,24.2,883,669,"✅ Fixed"
"500","N = 500",".800","Model 3",3.179,2,".33, .33, .33","B",499,28.9,0,3.8,32.5,30.6,0.1,4,33.9,1009,667,"✅ Fixed"
"500","N = 500",".800","Model 1",3.179,2,".33, .33, .33","C",500,53.2,0.6,25.6,66.8,54.9,0.9,27.8,68.1,3406,1088,"✅ Fixed"
"500","N = 500",".800","Model 2",3.179,2,".33, .33, .33","C",499,22,0,0.4,22.4,21.8,0,0.6,22.2,887,690,"✅ Fixed"
"500","N = 500",".800","Model 3",3.179,2,".33, .33, .33","C",500,33.8,0,5.6,37.8,31,0,6.2,35.3,1008,652,"✅ Fixed"
"500","N = 500",".800","Model 1",3.179,2,".33, .33, .33","D",500,53.2,0.6,28,65.8,54.9,0.8,28.5,68.2,3405,1082,"✅ Fixed"
"500","N = 500",".800","Model 2",3.179,2,".33, .33, .33","D",499,20.4,0,0.6,20.6,19.5,0.3,1,20.4,887,706,"✅ Fixed"
"500","N = 500",".800","Model 3",3.179,2,".33, .33, .33","D",498,29.5,0.4,10.6,37.3,28.4,0.3,12.6,37.8,1007,626,"✅ Fixed"
"500","N = 500",".800","Model 1",3.179,3,".60, .30, .10","0.3",498,43.6,1.4,42.2,66.5,46.4,1.1,38.8,67,2264,746,"✅ Fixed"
"500","N = 500",".800","Model 2",3.179,3,".60, .30, .10","0.3",500,12,0.2,6.2,17.6,13.1,0.1,5.7,18.3,756,618,"✅ Fixed"
"500","N = 500",".800","Model 3",3.179,3,".60, .30, .10","0.3",500,21.4,0.4,3.6,23.6,20.5,0.2,2.6,22.2,820,638,"✅ Fixed"
"500","N = 500",".800","Model 1",3.179,3,".60, .30, .10","0.5",499,51.1,0.4,37.5,67.3,47.5,0.6,41.1,67.6,2344,759,"✅ Fixed"
"500","N = 500",".800","Model 2",3.179,3,".60, .30, .10","0.5",498,16.9,0.4,4,20.5,16.7,0.3,4,20.4,779,620,"✅ Fixed"
"500","N = 500",".800","Model 3",3.179,3,".60, .30, .10","0.5",500,21.4,0,3.2,23.8,22.3,0,2.9,24.5,821,620,"✅ Fixed"
"500","N = 500",".800","Model 1",3.179,3,".60, .30, .10","0.7",497,48.5,0.8,42.5,68.4,52.2,0.7,40.6,69.9,2456,740,"✅ Fixed"
"500","N = 500",".800","Model 2",3.179,3,".60, .30, .10","0.7",497,18.5,0.6,1.6,20.5,18.8,0.6,2.2,21.4,777,611,"✅ Fixed"
"500","N = 500",".800","Model 3",3.179,3,".60, .30, .10","0.7",500,24.2,0.2,4,26.6,25.5,0.1,3.4,27.6,856,620,"✅ Fixed"
"500","N = 500",".800","Model 1",3.179,3,".60, .30, .10","0.9",498,54.6,0.4,41,71.3,55.1,0.5,41.3,72.2,2848,793,"✅ Fixed"
"500","N = 500",".800","Model 2",3.179,3,".60, .30, .10","0.9",497,23.9,0.2,1,25.2,24.8,0.1,1.3,26,830,614,"✅ Fixed"
"500","N = 500",".800","Model 3",3.179,3,".60, .30, .10","0.9",499,25.9,0,6,30.5,25,0,4.6,28.6,907,648,"✅ Fixed"
"500","N = 500",".800","Model 1",3.179,3,".60, .30, .10","A",497,66,1.8,53.3,82.3,61.4,1.1,51.2,80.5,2865,559,"✅ Fixed"
"500","N = 500",".800","Model 2",3.179,3,".60, .30, .10","A",499,12.4,0.2,6,18,13.1,0.5,5.6,18.4,832,679,"✅ Fixed"
"500","N = 500",".800","Model 3",3.179,3,".60, .30, .10","A",500,20.8,0.4,3,23.8,21.8,0.3,2.6,24.4,907,686,"✅ Fixed"
"500","N = 500",".800","Model 1",3.179,3,".60, .30, .10","B",499,48.3,0.8,43.1,68.7,46.3,0.8,42.8,68.4,2862,905,"✅ Fixed"
"500","N = 500",".800","Model 2",3.179,3,".60, .30, .10","B",500,13.2,0.4,2.8,16.2,14.2,0.7,3.5,17.8,832,684,"✅ Fixed"
"500","N = 500",".800","Model 3",3.179,3,".60, .30, .10","B",498,21.7,0.2,2,23.1,20.9,0.2,2,22.6,904,700,"✅ Fixed"
"500","N = 500",".800","Model 1",3.179,3,".60, .30, .10","C",496,48.8,1,42.1,70.2,47.1,0.9,42.2,67.9,2856,916,"✅ Fixed"
"500","N = 500",".800","Model 2",3.179,3,".60, .30, .10","C",500,14,0.8,4.2,18.8,14.3,0.7,3.4,18,833,683,"✅ Fixed"
"500","N = 500",".800","Model 3",3.179,3,".60, .30, .10","C",497,18.9,0,5,22.7,18.9,0,3.9,21.9,903,705,"✅ Fixed"
"500","N = 500",".800","Model 1",3.179,3,".60, .30, .10","D",498,46.4,1,45,70.9,47.5,1.1,44.3,70,2861,858,"✅ Fixed"
"500","N = 500",".800","Model 2",3.179,3,".60, .30, .10","D",497,13.1,0,3,16.1,11.9,0,2,13.9,830,715,"✅ Fixed"
"500","N = 500",".800","Model 3",3.179,3,".60, .30, .10","D",499,18.2,0.2,11.6,27.3,18.5,0.2,11.5,27.4,905,657,"✅ Fixed"
"1000","N = 1000",".200","Model 1",0.407,1,".10, .30, .60","0.3",500,46.4,0.2,9.4,50.2,47.3,0.1,9.3,52,1344,645,"✅ Fixed"
"1000","N = 1000",".200","Model 2",0.407,1,".10, .30, .60","0.3",500,5.2,0.4,0.6,6.2,5.5,0.3,0.6,6.4,659,617,"✅ Fixed"
"1000","N = 1000",".200","Model 3",0.407,1,".10, .30, .60","0.3",499,20.6,0,0.8,21.4,19.2,0.1,0.8,20.1,793,634,"✅ Fixed"
"1000","N = 1000",".200","Model 1",0.407,1,".10, .30, .60","0.5",500,49.4,0.4,8,53.2,47.6,0.5,8.6,52.4,1452,691,"✅ Fixed"
"1000","N = 1000",".200","Model 2",0.407,1,".10, .30, .60","0.5",498,4.6,0.8,0.6,6,4.1,0.9,0.5,5.5,653,617,"✅ Fixed"
"1000","N = 1000",".200","Model 3",0.407,1,".10, .30, .60","0.5",500,20.8,0.2,0.6,21.6,21.2,0.3,0.6,21.8,797,623,"✅ Fixed"
"1000","N = 1000",".200","Model 1",0.407,1,".10, .30, .60","0.7",500,53,0.4,11.2,59,50.9,0.5,11.5,56.7,1721,745,"✅ Fixed"
"1000","N = 1000",".200","Model 2",0.407,1,".10, .30, .60","0.7",499,5.4,0.8,0.4,6.4,4.9,0.8,0.5,5.9,657,618,"✅ Fixed"
"1000","N = 1000",".200","Model 3",0.407,1,".10, .30, .60","0.7",499,21.4,0.2,0.4,21.8,23.7,0.3,0.4,24.1,797,605,"✅ Fixed"
"1000","N = 1000",".200","Model 1",0.407,1,".10, .30, .60","0.9",500,56.2,0.2,17.6,63,55,0.3,17.1,62.2,1978,747,"✅ Fixed"
"1000","N = 1000",".200","Model 2",0.407,1,".10, .30, .60","0.9",497,10.7,0.2,1.2,12.1,11.6,0.1,1,12.8,698,609,"✅ Fixed"
"1000","N = 1000",".200","Model 3",0.407,1,".10, .30, .60","0.9",500,37.2,0,0.2,37.2,39.6,0,0.1,39.6,1021,617,"✅ Fixed"
"1000","N = 1000",".200","Model 1",0.407,1,".10, .30, .60","A",500,40,1.4,30.4,60,40.2,1.8,26.3,56.8,1979,854,"✅ Fixed"
"1000","N = 1000",".200","Model 2",0.407,1,".10, .30, .60","A",498,5.2,1,1,7.2,4.9,0.9,0.9,6.6,698,652,"✅ Fixed"
"1000","N = 1000",".200","Model 3",0.407,1,".10, .30, .60","A",500,24,0.2,3.2,25.6,25.1,0.2,3.1,26.4,1021,751,"✅ Fixed"
"1000","N = 1000",".200","Model 1",0.407,1,".10, .30, .60","B",500,47,0.4,12.6,54.4,44.7,0.3,11.1,50.6,1979,978,"✅ Fixed"
"1000","N = 1000",".200","Model 2",0.407,1,".10, .30, .60","B",499,5,0.2,1.2,6.4,4.3,0.1,1,5.4,701,663,"✅ Fixed"
"1000","N = 1000",".200","Model 3",0.407,1,".10, .30, .60","B",499,21,0,0.4,21.4,20.9,0,0.8,21.5,1020,801,"✅ Fixed"
"1000","N = 1000",".200","Model 1",0.407,1,".10, .30, .60","C",500,44.8,1.2,14.4,52.8,45,0.6,13.3,52.8,1979,935,"✅ Fixed"
"1000","N = 1000",".200","Model 2",0.407,1,".10, .30, .60","C",500,5.6,0.2,0.6,6.4,5.4,0.1,0.4,6,702,660,"✅ Fixed"
"1000","N = 1000",".200","Model 3",0.407,1,".10, .30, .60","C",500,22.8,0,1.8,24,22.2,0,1.3,23.1,1021,785,"✅ Fixed"
"1000","N = 1000",".200","Model 1",0.407,1,".10, .30, .60","D",500,45.8,0.8,16.2,52.8,46.3,1.2,15.5,54.7,1978,897,"✅ Fixed"
