"FileName","Model","N","N_numeric","Population","TPs","Mix","Mixing_proportion","Lambda","Total_Rows","Total_Violations","Percentage_Violations","Total_Errors","ErrorRate","Total_LL_Failures","LL_Failure_Perc","Total_True_Violations","True_Violation_Perc","GoodReplications","Reanalysis_Needed","Adjusted_Replications_Needed"
"rilta_lta_m1_n_500_tp_3.179_m_3_l_0.9","Model 1","N = 500",500,".800",3.179,3,".60, .30, .10","0.9",498,272,54.6,204,41,2,0.4,355,71.3,143,"Yes",2869
"rilta_lta_m1_n_500_tp_3.179_m_3_l_a","Model 1","N = 500",500,".800",3.179,3,".60, .30, .10","A",497,328,66,265,53.3,9,1.8,409,82.3,88,"Yes",7473
"rilta_lta_m1_n_500_tp_3.179_m_3_l_b","Model 1","N = 500",500,".800",3.179,3,".60, .30, .10","B",499,241,48.3,215,43.1,4,0.8,343,68.7,156,"Yes",2514
"rilta_lta_m1_n_500_tp_3.179_m_3_l_c","Model 1","N = 500",500,".800",3.179,3,".60, .30, .10","C",496,242,48.8,209,42.1,5,1,348,70.2,148,"Yes",2694
"rilta_lta_m1_n_500_tp_3.179_m_3_l_d","Model 1","N = 500",500,".800",3.179,3,".60, .30, .10","D",498,231,46.4,224,45,5,1,353,70.9,145,"Yes",2807
"rilta_lta_m2_n_500_tp_3.179_m_1_l_0.3","Model 2","N = 500",500,".800",3.179,1,".10, .30, .60","0.3",494,38,7.7,56,11.3,4,0.8,97,19.6,397,"Yes",767
"rilta_lta_m2_n_500_tp_3.179_m_1_l_0.5","Model 2","N = 500",500,".800",3.179,1,".10, .30, .60","0.5",496,39,7.9,48,9.7,2,0.4,86,17.3,410,"Yes",747
"rilta_lta_m2_n_500_tp_3.179_m_1_l_0.7","Model 2","N = 500",500,".800",3.179,1,".10, .30, .60","0.7",498,59,11.8,62,12.4,2,0.4,115,23.1,383,"Yes",811
"rilta_lta_m2_n_500_tp_3.179_m_1_l_0.9","Model 2","N = 500",500,".800",3.179,1,".10, .30, .60","0.9",499,82,16.4,67,13.4,3,0.6,145,29.1,354,"Yes",889
"rilta_lta_m2_n_500_tp_3.179_m_1_l_a","Model 2","N = 500",500,".800",3.179,1,".10, .30, .60","A",496,38,7.7,68,13.7,5,1,102,20.6,394,"Yes",781
