"Model","N","N_numeric","Population","TPs","Mix","Mixing_proportion","Lambda","Total_Rows","Total_Violations","Percentage_Violations","Total_Errors","ErrorRate","Total_LL_Failures","LL_Failure_Perc","Total_True_Violations","True_Violation_Perc","Adjusted_Replications_Needed"
"Model 2","N = 5000","5000",".200",0.407,2,".33, .33, .33","D",500,28,5.6,0,0,0,0,28,5.6,655
"Model 2","N = 5000","5000",".200",0.407,3,".60, .30, .10","0.3",500,26,5.2,0,0,0,0,26,5.2,652
"Model 2","N = 5000","5000",".200",0.407,3,".60, .30, .10","0.5",500,36,7.2,0,0,0,0,36,7.2,667
"Model 2","N = 5000","5000",".200",0.407,3,".60, .30, .10","0.7",500,33,6.6,0,0,0,0,33,6.6,662
"Model 2","N = 5000","5000",".200",0.407,3,".60, .30, .10","0.9",499,41,8.2,0,0,1,0.2,42,8.4,675
"Model 2","N = 5000","5000",".200",0.407,3,".60, .30, .10","A",500,41,8.2,0,0,0,0,41,8.2,674
"Model 2","N = 5000","5000",".200",0.407,3,".60, .30, .10","B",500,36,7.2,0,0,0,0,36,7.2,667
"Model 2","N = 5000","5000",".200",0.407,3,".60, .30, .10","C",500,40,8,0,0,0,0,40,8,673
"Model 2","N = 5000","5000",".200",0.407,3,".60, .30, .10","D",500,43,8.6,0,0,0,0,43,8.6,677
"Model 3","N = 5000","5000",".200",0.407,1,".10, .30, .60","0.3",499,107,21.4,0,0,0,0,107,21.4,794
"Model 3","N = 5000","5000",".200",0.407,1,".10, .30, .60","0.5",500,96,19.2,0,0,0,0,96,19.2,772
"Model 3","N = 5000","5000",".200",0.407,1,".10, .30, .60","0.7",500,114,22.8,0,0,2,0.4,116,23.2,815
"Model 3","N = 5000","5000",".200",0.407,1,".10, .30, .60","0.9",500,209,41.8,0,0,1,0.2,209,41.8,1115
"Model 3","N = 5000","5000",".200",0.407,1,".10, .30, .60","A",500,109,21.8,0,0,0,0,109,21.8,800
"Model 3","N = 5000","5000",".200",0.407,1,".10, .30, .60","B",500,137,27.4,74,14.8,7,1.4,172,34.4,971
"Model 3","N = 5000","5000",".200",0.407,1,".10, .30, .60","C",500,235,47,259,51.8,8,1.6,362,72.4,3068
"Model 3","N = 5000","5000",".200",0.407,1,".10, .30, .60","D",498,261,52.4,281,56.4,9,1.8,381,76.5,4039
"Model 3","N = 5000","5000",".200",0.407,2,".33, .33, .33","0.3",500,120,24,0,0,0,0,120,24,825
"Model 3","N = 5000","5000",".200",0.407,2,".33, .33, .33","0.5",500,144,28.8,0,0,0,0,144,28.8,886
"Model 3","N = 5000","5000",".200",0.407,2,".33, .33, .33","0.7",500,176,35.2,0,0,1,0.2,177,35.4,988
"Model 3","N = 5000","5000",".200",0.407,2,".33, .33, .33","0.9",500,175,35,0,0,1,0.2,176,35.2,985
"Model 3","N = 5000","5000",".200",0.407,2,".33, .33, .33","A",500,125,25,0,0,0,0,125,25,837
"Model 3","N = 5000","5000",".200",0.407,2,".33, .33, .33","B",500,150,30,0,0,0,0,150,30,903
"Model 3","N = 5000","5000",".200",0.407,2,".33, .33, .33","C",500,225,45,26,5.2,5,1,238,47.6,1263
"Model 3","N = 5000","5000",".200",0.407,2,".33, .33, .33","D",500,204,40.8,35,7,4,0.8,234,46.8,1240
"Model 3","N = 5000","5000",".200",0.407,3,".60, .30, .10","0.3",500,154,30.8,0,0,0,0,154,30.8,915
"Model 3","N = 5000","5000",".200",0.407,3,".60, .30, .10","0.5",500,154,30.8,0,0,0,0,154,30.8,915
"Model 3","N = 5000","5000",".200",0.407,3,".60, .30, .10","0.7",500,176,35.2,0,0,0,0,176,35.2,985
"Model 3","N = 5000","5000",".200",0.407,3,".60, .30, .10","0.9",500,166,33.2,0,0,0,0,166,33.2,952
"Model 3","N = 5000","5000",".200",0.407,3,".60, .30, .10","A",500,124,24.8,0,0,0,0,124,24.8,834
"Model 3","N = 5000","5000",".200",0.407,3,".60, .30, .10","B",500,117,23.4,0,0,0,0,117,23.4,818
"Model 3","N = 5000","5000",".200",0.407,3,".60, .30, .10","C",500,108,21.6,0,0,0,0,108,21.6,797
