"FileName","Population","TPs","N","N_numeric","Lambda","Total_Rows","Total_Violations","Percentage_Violations","Total_Errors","ErrorRate","Total_LL_Failures","LL_Failure_Perc","Total_True_Violations","True_Violation_Perc","GoodReplications","Reanalysis_Needed","Adjusted_Replications_Needed"
"rilta_lta_n_2000_tp_0.85_th_1_lambda_1",".700",0.85,"N = 2000","2000","1",897,306,34.1,0,0,0,0,306,34.1,591,"No",809
"rilta_lta_n_2000_tp_1.385_th_1_lambda_1",".800",1.385,"N = 2000","2000","1",909,274,30.1,0,0,0,0,274,30.1,635,"No",766
"rilta_lta_n_4000_tp_-1.385_th_1_lambda_0",".200",-1.385,"N = 4000","4000","0",811,244,30.1,0,0,0,0,244,30.1,567,"No",766
"rilta_lta_n_4000_tp_-0.85_th_1_lambda_0",".300",-0.85,"N = 4000","4000","0",865,276,31.9,0,0,0,0,276,31.9,589,"No",785
"rilta_lta_n_4000_tp_-0.41_th_1_lambda_0",".400",-0.41,"N = 4000","4000","0",811,274,33.8,0,0,0,0,274,33.8,537,"No",806
"rilta_lta_n_4000_tp_0.41_th_1_lambda_0",".600",0.41,"N = 4000","4000","0",915,350,38.3,0,0,0,0,350,38.3,565,"No",861
"rilta_lta_n_4000_tp_0.85_th_1_lambda_0",".700",0.85,"N = 4000","4000","0",820,260,31.7,0,0,0,0,260,31.7,560,"No",783
"rilta_lta_n_4000_tp_1.385_th_1_lambda_0",".800",1.385,"N = 4000","4000","0",768,188,24.5,0,0,0,0,188,24.5,580,"No",713
"rilta_lta_n_4000_tp_-1.385_th_1_lambda_0.2",".200",-1.385,"N = 4000","4000","0.2",806,218,27,0,0,0,0,218,27,588,"No",735
"rilta_lta_n_4000_tp_-0.85_th_1_lambda_0.2",".300",-0.85,"N = 4000","4000","0.2",837,254,30.3,0,0,0,0,254,30.3,583,"No",768
"rilta_lta_n_4000_tp_-0.41_th_1_lambda_0.2",".400",-0.41,"N = 4000","4000","0.2",784,262,33.4,0,0,0,0,262,33.4,522,"No",801
"rilta_lta_n_4000_tp_0.41_th_1_lambda_0.2",".600",0.41,"N = 4000","4000","0.2",834,290,34.8,0,0,0,0,290,34.8,544,"No",817
"rilta_lta_n_4000_tp_0.85_th_1_lambda_0.2",".700",0.85,"N = 4000","4000","0.2",780,225,28.8,0,0,0,0,225,28.8,555,"No",753
"rilta_lta_n_4000_tp_1.385_th_1_lambda_0.2",".800",1.385,"N = 4000","4000","0.2",710,184,25.9,0,0,0,0,184,25.9,526,"No",725
"rilta_lta_n_4000_tp_-1.385_th_1_lambda_0.4",".200",-1.385,"N = 4000","4000","0.4",992,396,39.9,0,0,0,0,396,39.9,596,"No",882
"rilta_lta_n_4000_tp_-0.85_th_1_lambda_0.4",".300",-0.85,"N = 4000","4000","0.4",849,302,35.6,0,0,0,0,302,35.6,547,"No",827
"rilta_lta_n_4000_tp_-0.41_th_1_lambda_0.4",".400",-0.41,"N = 4000","4000","0.4",844,302,35.8,0,0,0,0,302,35.8,542,"No",829
"rilta_lta_n_4000_tp_0.41_th_1_lambda_0.4",".600",0.41,"N = 4000","4000","0.4",872,250,28.7,0,0,0,0,250,28.7,622,"No",752
"rilta_lta_n_4000_tp_0.85_th_1_lambda_0.4",".700",0.85,"N = 4000","4000","0.4",820,275,33.5,0,0,0,0,275,33.5,545,"No",802
