Model,Population,N,Mixing_proportion,Lambda,average,Parameter_Bias,SE_Bias,Power,Coverage
Model 1,0.8,N = 2500,".60, .30, .10",0.5,0.8085030000000001,1.06521,2.08073,1,0.9242600000000001
Model 1,0.8,N = 2500,".60, .30, .10",0.7,0.8151259999999999,1.88833,-16.39126,1,0.8515619999999999
Model 1,0.8,N = 2500,".60, .30, .10",0.9,0.8164499999999999,2.05371,-4.31639,1,0.87894
Model 1,0.8,N = 2500,".60, .30, .10",A,0.781551,-2.30863,-0.67755,1,0.888866
Model 1,0.8,N = 2500,".60, .30, .10",B,0.789157,-1.35775,-0.90525,1,0.9338380000000001
Model 1,0.8,N = 2500,".60, .30, .10",C,0.788586,-1.4292,2.37751,1,0.9446559999999999
Model 1,0.8,N = 2500,".60, .30, .10",D,0.787347,-1.58399,-2.74497,0.999112,0.93236
Model 1,0.8,N = 500,".10, .30, .60",0.3,0.7603300000000001,-4.9613,16.88231,0.91186,0.918608
Model 1,0.8,N = 500,".10, .30, .60",0.5,0.8020970000000001,0.26243,6.46015,0.933211,0.881416
Model 1,0.8,N = 500,".10, .30, .60",0.7,0.83334,4.16497,4.76571,0.94179,0.815158
Model 1,0.8,N = 500,".10, .30, .60",0.9,0.880251,10.028889999999999,11.46709,0.9530259999999999,0.6908299999999999
Model 1,0.8,N = 500,".10, .30, .60",A,0.694565,-13.18103,8.84014,0.849331,0.837112
Model 1,0.8,N = 500,".10, .30, .60",B,0.6545000000000001,-18.18878,15.13381,0.85269,0.854066
Model 1,0.8,N = 500,".10, .30, .60",C,0.639761,-20.032329999999998,18.53449,0.830187,0.842372
Model 1,0.8,N = 500,".10, .30, .60",D,0.626274,-21.71831,15.1601,0.812337,0.817452
Model 1,0.8,N = 500,".33, .33, .33",0.3,0.7979010000000001,-0.26327,6.77183,0.995946,0.942404
Model 1,0.8,N = 500,".33, .33, .33",0.5,0.8147409999999999,1.84128,12.76279,0.994038,0.9412659999999999
Model 1,0.8,N = 500,".33, .33, .33",0.7,0.835205,4.3980500000000005,9.94202,0.98633,0.89193
Model 1,0.8,N = 500,".33, .33, .33",0.9,0.8446469999999999,5.57833,8.81686,0.992314,0.83605
Model 1,0.8,N = 500,".33, .33, .33",A,0.758251,-5.22122,-4.28449,0.980474,0.941528
Model 1,0.8,N = 500,".33, .33, .33",B,0.75185,-6.02131,0.63556,0.985402,0.936538
Model 1,0.8,N = 500,".33, .33, .33",C,0.745879,-6.76762,0.68602,0.977806,0.93682
Model 1,0.8,N = 500,".33, .33, .33",D,0.740925,-7.38679,-0.59627,0.97602,0.942152
Model 1,0.8,N = 500,".60, .30, .10",0.3,0.793033,-0.87326,-10.23055,0.990672,0.94114
Model 1,0.8,N = 500,".60, .30, .10",0.5,0.8000200000000001,0.0025399999999999997,-4.5701600000000004,0.99234,0.947646
Model 1,0.8,N = 500,".60, .30, .10",0.7,0.8087460000000001,1.09498,-0.13678000000000004,0.993236,0.932338
Model 1,0.8,N = 500,".60, .30, .10",0.9,0.8174739999999999,2.1823,-12.47851,0.996154,0.884614
Model 1,0.8,N = 500,".60, .30, .10",A,0.756827,-5.3991,-23.50084,0.978779,0.92947
Model 1,0.8,N = 500,".60, .30, .10",B,0.778012,-2.75094,-9.60622,0.9878979999999999,0.95672
Model 1,0.8,N = 500,".60, .30, .10",C,0.773553,-3.30829,-13.80619,0.98369,0.95024
Model 1,0.8,N = 500,".60, .30, .10",D,0.766462,-4.19461,-18.7254,0.969024,0.937654
Model 1,0.8,N = 5000,".10, .30, .60",0.3,0.811642,1.4556,6.00223,1,0.959776
Model 1,0.8,N = 5000,".10, .30, .60",0.5,0.8380599999999999,4.75501,11.04396,1,0.904458
Model 1,0.8,N = 5000,".10, .30, .60",0.7,0.874695,9.33437,5.14007,1,0.631186
Model 1,0.8,N = 5000,".10, .30, .60",0.9,0.916567,14.56932,3.15279,0.999226,0.304102
Model 1,0.8,N = 5000,".10, .30, .60",A,0.771777,-3.53032,2.11175,1,0.924506
Model 1,0.8,N = 5000,".10, .30, .60",B,0.6940029999999999,-13.252130000000001,4.4416899999999995,1,0.5166040000000001
Model 1,0.8,N = 5000,".10, .30, .60",C,0.672189,-15.97637,3.41571,1,0.391834
Model 1,0.8,N = 5000,".10, .30, .60",D,0.6583100000000001,-17.71181,3.2637899999999997,1,0.337216
Model 1,0.8,N = 5000,".33, .33, .33",0.3,0.808203,1.02787,2.7414799999999997,1,0.93287
Model 1,0.8,N = 5000,".33, .33, .33",0.5,0.823608,2.94858,-2.10872,1,0.8279
Model 1,0.8,N = 5000,".33, .33, .33",0.7,0.841433,5.1766,2.79251,1,0.589572
Model 1,0.8,N = 5000,".33, .33, .33",0.9,0.849735,6.21453,3.9731899999999998,1,0.586942
Model 1,0.8,N = 5000,".33, .33, .33",A,0.780332,-2.46106,3.5566,1,0.885306
Model 1,0.8,N = 5000,".33, .33, .33",B,0.767081,-4.11748,-1.42018,1,0.756564
Model 1,0.8,N = 5000,".33, .33, .33",C,0.761594,-4.80329,-1.69774,1,0.6572520000000001
Model 1,0.8,N = 5000,".33, .33, .33",D,0.758296,-5.21539,2.7481500000000003,1,0.680328
Model 1,0.8,N = 5000,".60, .30, .10",0.3,0.802409,0.30354,7.98051,1,0.963634
Model 1,0.8,N = 5000,".60, .30, .10",0.5,0.8087200000000001,1.0925099999999999,1.86724,1,0.920786
Model 1,0.8,N = 5000,".60, .30, .10",0.7,0.8159789999999999,1.9947700000000002,-7.64548,1,0.816846
Model 1,0.8,N = 5000,".60, .30, .10",0.9,0.812095,1.51161,1.74045,1,0.883302
Model 1,0.8,N = 5000,".60, .30, .10",A,0.781029,-2.37411,-2.28619,1,0.811362
Model 1,0.8,N = 5000,".60, .30, .10",B,0.7890980000000001,-1.36548,1.68726,1,0.9235760000000001
Model 1,0.8,N = 5000,".60, .30, .10",C,0.78752200000000006,-1.56218,-0.72528,1,0.913188
Model 1,0.8,N = 5000,".60, .30, .10",D,0.787639,-1.5476699999999999,-1.0281799999999999,1,0.9194140000000001
Model 2,0.2,N = 1000,".10, .30, .60",0.3,0.212952,6.476,-0.70897,0.9644619999999999,0.9356
Model 2,0.2,N = 1000,".10, .30, .60",0.5,0.241747,20.8735,-11.26892,0.971274,0.9134180000000001
Model 2,0.2,N = 1000,".10, .30, .60",0.7,0.301649,50.8245,-11.93969,0.967926,0.769222
Model 2,0.2,N = 1000,".10, .30, .60",0.9,0.428967,114.4835,-11.47507,0.955746,0.34442
Model 2,0.2,N = 1000,".10, .30, .60",A,0.209289,4.6445,-10.33138,0.972946,0.929292
Model 2,0.2,N = 1000,".10, .30, .60",B,0.22087,10.435,-20.19275,0.962148,0.921636
Model 2,0.2,N = 1000,".10, .30, .60",C,0.224277,12.1385,-19.0903,0.93996,0.91952
Model 2,0.2,N = 1000,".10, .30, .60",D,0.222959,11.4795,-10.89253,0.900558,0.925098
Model 2,0.2,N = 1000,".33, .33, .33",0.3,0.21293499999999999,6.4675,-40.61507,1,0.936636
Model 2,0.2,N = 1000,".33, .33, .33",0.5,0.221278,10.639,-30.51363,1,0.915998
Model 2,0.2,N = 1000,".33, .33, .33",0.7,0.247549,23.7745,-31.14215,1,0.795652
Model 2,0.2,N = 1000,".33, .33, .33",0.9,0.306247,53.1235,-23.41991,1,0.519286
Model 2,0.2,N = 1000,".33, .33, .33",A,0.207553,3.7765,-38.00535,1,0.929692
Model 2,0.2,N = 1000,".33, .33, .33",B,0.20613199999999998,3.066,-32.42361,1,0.940574
Model 2,0.2,N = 1000,".33, .33, .33",C,0.213006,6.503,-48.0875,1,0.9237960000000001
Model 2,0.2,N = 1000,".33, .33, .33",D,0.209274,4.637,-39.69614,1,0.93159
Model 2,0.2,N = 1000,".60, .30, .10",0.3,0.21085199999999998,5.426,-61.80088,1,0.920994
Model 2,0.2,N = 1000,".60, .30, .10",0.5,0.21315299999999998,6.5765,-55.73327,1,0.9347
Model 2,0.2,N = 1000,".60, .30, .10",0.7,0.220582,10.291,-53.02965,1,0.905622
Model 2,0.2,N = 1000,".60, .30, .10",0.9,0.233979,16.9895,-40.28539,1,0.84904
Model 2,0.2,N = 1000,".60, .30, .10",A,0.210041,5.0205,-62.71434,1,0.908168
Model 2,0.2,N = 1000,".60, .30, .10",B,0.21001899999999998,5.0095,-60.63971,1,0.915114
Model 2,0.2,N = 1000,".60, .30, .10",C,0.209347,4.6735,-58.477850000000004,1,0.9171860000000001
Model 2,0.2,N = 1000,".60, .30, .10",D,0.210107,5.0535,-59.83353,1,0.920846
Model 2,0.2,N = 2500,".10, .30, .60",0.3,0.214088,7.044,-26.03784,1,0.936102
Model 2,0.2,N = 2500,".10, .30, .60",0.5,0.239748,19.874,-21.17364,1,0.85841
Model 2,0.2,N = 2500,".10, .30, .60",0.7,0.297593,48.7965,-25.17648,1,0.527366
Model 2,0.2,N = 2500,".10, .30, .60",0.9,0.43057,115.285,-9.6412,0.980932,0.132576
Model 2,0.2,N = 2500,".10, .30, .60",A,0.208482,4.241,-20.94272,1,0.933326
Model 2,0.2,N = 2500,".10, .30, .60",B,0.216613,8.3065,-24.66976,1,0.9191520000000001
Model 2,0.2,N = 2500,".10, .30, .60",C,0.218628,9.314,-28.83601,1,0.905352
Model 2,0.2,N = 2500,".10, .30, .60",D,0.220427,10.2135,-26.72558,0.998494,0.919956
Model 2,0.2,N = 2500,".33, .33, .33",0.3,0.209782,4.891,-49.85425,1,0.930736
Model 2,0.2,N = 2500,".33, .33, .33",0.5,0.222785,11.3925,-53.08835,1,0.856286
Model 2,0.2,N = 2500,".33, .33, .33",0.7,0.242756,21.378,-39.35574,1,0.598788
Model 2,0.2,N = 2500,".33, .33, .33",0.9,0.298749,49.3745,-30.64113,1,0.1729
Model 2,0.2,N = 2500,".33, .33, .33",A,0.2062,3.1,-50.51195,1,0.928592
Model 2,0.2,N = 2500,".33, .33, .33",B,0.20885599999999999,4.428,-54.58633,1,0.928544
Model 2,0.2,N = 2500,".33, .33, .33",C,0.212457,6.2285,-62.23248,1,0.91446
Model 2,0.2,N = 2500,".33, .33, .33",D,0.211553,5.7765,-59.799549999999996,1,0.92105
Model 2,0.2,N = 2500,".60, .30, .10",0.3,0.210498,5.249,-71.6946,1,0.929744
Model 2,0.2,N = 2500,".60, .30, .10",0.5,0.217807,8.9035,-74.25819,1,0.9121520000000001
Model 2,0.2,N = 2500,".60, .30, .10",0.7,0.220339,10.1695,-68.07156,1,0.840622
Model 2,0.2,N = 2500,".60, .30, .10",0.9,0.232165,16.0825,-52.721309999999995,1,0.62728
Model 2,0.2,N = 2500,".60, .30, .10",A,0.213745,6.8725,-77.10755,1,0.916892
Model 2,0.2,N = 2500,".60, .30, .10",B,0.212562,6.281,-75.34488,1,0.9205260000000001
Model 2,0.2,N = 2500,".60, .30, .10",C,0.211063,5.5315,-71.41726,1,0.917398
Model 2,0.2,N = 2500,".60, .30, .10",D,0.21133,5.665,-70.32742,1,0.917852
Model 2,0.2,N = 500,".10, .30, .60",0.3,0.221178,10.589,-5.23847,0.745668,0.933342
Model 2,0.2,N = 500,".10, .30, .60",0.5,0.247609,23.8045,2.10952,0.748742,0.926484
Model 2,0.2,N = 500,".10, .30, .60",0.7,0.311147,55.5735,2.62196,0.8029660000000001,0.83267
Model 2,0.2,N = 500,".10, .30, .60",0.9,0.434861,117.4305,-1.44179,0.86603,0.467262
Model 2,0.2,N = 500,".10, .30, .60",A,0.21451499999999998,7.2575,-7.15753,0.756851,0.9101600000000001
Model 2,0.2,N = 500,".10, .30, .60",B,0.221191,10.5955,-6.91036,0.740528,0.921722
Model 2,0.2,N = 500,".10, .30, .60",C,0.227692,13.846,-10.72781,0.716921,0.912012
Model 2,0.2,N = 500,".10, .30, .60",D,0.227311,13.6555,-7.08121,0.6698310000000001,0.914234
Model 2,0.2,N = 500,".33, .33, .33",0.3,0.20908,4.54,-21.94107,0.985796,0.928606
Model 2,0.2,N = 500,".33, .33, .33",0.5,0.219936,9.968,-19.2592,0.988868,0.909618
Model 2,0.2,N = 500,".33, .33, .33",0.7,0.24709,23.545,-12.70934,0.98214,0.883418
Model 2,0.2,N = 500,".33, .33, .33",0.9,0.308066,54.033,-10.498240000000001,0.968028,0.670878
Model 2,0.2,N = 500,".33, .33, .33",A,0.205017,2.5085,-20.5287,0.996972,0.9190980000000001
Model 2,0.2,N = 500,".33, .33, .33",B,0.207653,3.8265,-31.17047,0.98931,0.90845
Model 2,0.2,N = 500,".33, .33, .33",C,0.20566299999999998,2.8315,-24.09753,0.987804,0.912962
Model 2,0.2,N = 500,".33, .33, .33",D,0.20857399999999998,4.287,-30.05479,0.986412,0.9092020000000001
Model 2,0.2,N = 500,".60, .30, .10",0.3,0.208342,4.171,-47.04114,0.998472,0.911424
Model 2,0.2,N = 500,".60, .30, .10",0.5,0.208646,4.323,-35.57168,1,0.923814
Model 2,0.2,N = 500,".60, .30, .10",0.7,0.220629,10.3145,-42.98384,0.998424,0.89552
