"FileName","Population","Lambda","N","Transitions","group_size","average","average_SE","population_sd","MSE","Coverage","Power","Reps_Used","Parameter_Bias_boot","SE_Bias_boot","Parameter_Bias","SE_Bias","Power_Dic","Coverage_Dic"
"rilta_lta_n_2000_tp_0.85_th_1_lambda_1",0.7,1,"N = 2000","Stayer",591,0.816,0.019,0.019,0.014,0.002,1,591,16.57,0,16.49997,-0.61176,1,0
"rilta_lta_n_2000_tp_1.385_th_1_lambda_0.2",0.8,0.2,"N = 2000","Stayer",564,0.803,0.021,0.021,0,0.947,1,564,0.38,0,0.42254,-0.3691,1,1
"rilta_lta_n_2000_tp_1.385_th_1_lambda_0.4",0.8,0.4,"N = 2000","Stayer",567,0.812,0.021,0.021,0.001,0.898,1,567,1.5,0,1.50999,1.96643,1,0
"rilta_lta_n_2000_tp_1.385_th_1_lambda_0.6",0.8,0.6,"N = 2000","Stayer",612,0.829,0.02,0.02,0.001,0.683,1,612,3.62,0,3.5696,0.52792,1,0
"rilta_lta_n_2000_tp_1.385_th_1_lambda_0.8",0.8,0.8,"N = 2000","Stayer",585,0.85,0.019,0.019,0.003,0.239,1,585,6.25,0,6.2293,1.72296,1,0
"rilta_lta_n_2000_tp_1.385_th_1_lambda_0",0.8,0,"N = 2000","Stayer",520,0.801,0.021,0.02,0,0.95,1,520,0.13,5,0.1482,3.95857,1,1
"rilta_lta_n_2000_tp_1.385_th_1_lambda_1",0.8,1,"N = 2000","Stayer",635,0.872,0.017,0.017,0.005,0.02,1,635,9,0,8.95167,0.0901000000000001,1,0
"rilta_lta_n_4000_tp_-0.41_th_1_lambda_0.2",0.4,0.2,"N = 4000","Mover",522,0.412,0.018,0.018,0,0.923,1,522,3,0,3.041,2.2159,1,1
"rilta_lta_n_4000_tp_-0.41_th_1_lambda_0.4",0.4,0.4,"N = 4000","Mover",542,0.451,0.018,0.018,0.003,0.201,1,542,12.75,0,12.81775,-1.60888,1,0
"rilta_lta_n_4000_tp_-0.41_th_1_lambda_0.6",0.4,0.6,"N = 4000","Mover",574,0.51,0.018,0.018,0.012,0,1,574,27.5,0,27.46825,-0.59552,1,0
"rilta_lta_n_4000_tp_-0.41_th_1_lambda_0.8",0.4,0.8,"N = 4000","Mover",583,0.58,0.017,0.017,0.033,0,1,583,45,0,45.0115,-2.58385,1,0
"rilta_lta_n_4000_tp_-0.41_th_1_lambda_0",0.4,0,"N = 4000","Mover",537,0.399,0.018,0.018,0,0.95,1,537,-0.25,0,-0.11975,1.43456,1,1
"rilta_lta_n_4000_tp_-0.41_th_1_lambda_1",0.4,1,"N = 4000","Mover",562,0.646,0.016,0.016,0.061,0,1,562,61.5,0,61.44875,0.23125,1,0
